1920, -0.27, 3.5
1930, -0.14, 3.8
1940, +0.2, 4.6
1950, -0.18, 5
1960, -0.02, 8.2
1970, +0.05, 11.4
1980, +0.33, 16.5
1990, +0.41, 23.2
2000, +0.62, 22.5
2010, +0.73, 31.7
2020, +0.97, 36.8
